Sampling,Accuracy,Precision,Recall,F1,ROC_AUC
NoSampling,0.9810344827586206,0.0,0.0,0.0,0.5819505094614265
RandomOverSampler,0.9448275862068967,0.16666666666666666,0.4,0.19235836627140973,0.7232896652110625
RandomUnderSampler,0.6689655172413793,0.024674206857305446,0.6,0.04735236076412547,0.5727802037845706
SMOTE,0.8568965517241379,0.06017316017316017,0.26666666666666666,0.08592592592592593,0.6985443959243085
SMOTETomek,0.8543103448275862,0.048863636363636366,0.26666666666666666,0.07142300194931774,0.6976710334788937
